"invariant_id","scope","invariant","status","observed_count","expected","evidence_artifact","boundary","detail"
"R6-INV-001","strict_provenance","Strict witness table row count remains 82.","pass","82","82","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","Preferred strict source-canon witness table."
"R6-INV-002","strict_provenance","Strict witness rows have required URL/path/hash/license/tag/ethics/use/blocker fields.","pass","0","0 missing required cells","NOETHER_R6_SOURCE_CANON_STRICT_PROVENANCE_WITNESS_TABLE_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","witness_id; target_family; language_access_target; source_title; source_url; local_path; bytes; sha256; license_permission_signal; topic_language_access_tags; evidence_tier; ethics_authority_note; allowed_current_use; blocked_before"
"R6-INV-003","strict_provenance","Strict provenance local paths exist and recorded SHA-256 hashes replay.","pass","0","0 path/hash failures across 82 rows","NOETHER_R6_STRICT_PROVENANCE_PATH_HASH_AUDIT_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","path audit rows=82"
"R6-INV-004","strict_provenance","Strict provenance URLs have non-placeholder reachability status or recorded access restriction.","pass","0","0 disallowed URL statuses across 82 rows","NOETHER_R6_STRICT_PROVENANCE_URL_REACHABILITY_AUDIT_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","allowed=reachable_headers_only; access_restricted_endpoint_present"
"R6-INV-005","license_access","Strict provenance license/access rows have class, payload policy, source-body policy, and non-claim boundary.","pass","0","0 missing license/package policy cells across 82 rows","NOETHER_R6_STRICT_PROVENANCE_LICENSE_ACCESS_AUDIT_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","license audit rows=82"
"R6-INV-006","gap_ledger","Explicit gap ledger has required blocker, reason, next-gate, and blocked-before fields.","pass","0","0 missing required gap cells across 78 rows","NOETHER_R6_SOURCE_CANON_EXPLICIT_GAP_LEDGER_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","gap rows=78"
"R6-INV-007","gap_transition","Every explicit gap has transition requirements and remains non-movable/non-promotional.","pass","0","0 bad transition rows across 78 rows","NOETHER_R6_GAP_TRANSITION_REQUIREMENTS_AUDIT_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","transition rows=78"
"R6-INV-008","candidate_route","Candidate repository route has hashed metadata capture but no source-body path/hash or strict-witness status.","pass","0","0 candidate promotion/source-body violations across 1 row","NOETHER_R6_SOURCE_ARCHIVE_CANDIDATE_ROUTE_LEDGER_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","metadata_hash_replay=True; evidence_status=candidate_repository_route_only_not_strict_source_canon_witness"
"R6-INV-009","non_source_guardrails","International Sign guardrail rows remain non-source rows with no source URL/local path/hash.","pass","0","0 guardrail source-witness violations across 10 rows","NOETHER_R6_NON_SOURCE_GUARDRAIL_ROWS_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","guardrail rows=10"
"R6-INV-010","non_strict_route_metadata","Non-strict DGS route remains non-strict while local metadata hash replays.","pass","0","0 non-strict route promotion violations across 1 row","NOETHER_R6_NON_STRICT_ROUTE_METADATA_ROWS_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","metadata_hash_replay=True"
"R6-INV-011","target_coverage","Target coverage crosswalk rows have coverage state, authority boundary, and at least one source-state count.","pass","0","0 incomplete crosswalk rows across 57 rows","NOETHER_R6_TARGET_COVERAGE_CROSSWALK_20260704.csv","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","crosswalk rows=57"
"R6-INV-012","b3_package_boundary","B3 package-boundary audit rows are support metadata and replay hashes without payload flags.","pass","0","0 package-boundary violations/hash mismatches across 71 rows","NOETHER_R6_B3_PACKAGE_BOUNDARY_AUDIT_20260704.csv","B3 package-boundary pass is support-metadata consistency only; no source authority, approval, clearance, payload, translation, pilot, completion, or Git action","0 package-boundary violations/hash mismatches across 71 rows; b3 rows=71"
"R6-INV-013","gate_state","Machine-readable gate counts remain zero.","pass","0","0 nonzero gate counts","NOETHER_R6_GATE_STATE_20260704.json","source-canon invariant check only; no source authority, reviewer approval, community consent, canonical approval, license clearance, media reuse permission, accepted terms/signs, translation, pilot, completion, or Git push","gate count fields=1 1 1 1 1 1 1 1 1 1 1"
"R6-INV-014","reader_manifest","Reader/package manifest entries have support-metadata gate text without approval/clearance/completion promotion.","pass","72","72 manifest entries with support gates and no approval/promotion text","NOETHER_R6_ZENODO_CURRENT_READER_INTEGRATION_MANIFEST_20260704.json","Reader manifest entries are support-metadata routing only; no reader completion, source authority, approval, clearance, translation, pilot, Zenodo action, or Git action","manifest entries=72; support gates present and Cape Verdean Kriolu route addendum included as metadata only"
